participant_ID,OI.importance,OI.open,content_ID,coder_ID,specific_code
5229722,yes,This way I got more information which means more links to the word to easily recall it.,2_1a,B,Remembering
4986648,yes,make sure how it is prounanced,2_2a,B,Correct production
5359092,yes,"افهم الكلمة اكثر
",2_3a,B,Correct comprehension
5341797,yes,"حتى أعرف النطق الصحيح،",2_4a,B,
5341797,yes,"لأنني أحيانا لا أفرق بين f و v.

فرؤية الكلمات مكتوبة يساعد على التعلم",2_5a,B,Decoding sounds and letters
5499647,no,لكي لا اتشتت بالتركيز على املاء تلك الكلمة,2_6a,B,It's too much to process
5027737,yes,Seeing the spelling helps me remember the word better. ,2_7a,B,Remembering
5010884,yes,لأن العين تحفظ ايضا,2_8a,B,Visualisation
5010884,yes, ولعدم القدرة على تمييز بعض الاحرف عند سماعها فصعبت التفريق بين نطق بعض الكلمات,2_9a,B,Decoding sounds and letters
5034149,yes,to help me connect the voice with the letters,2_10a,B,Decoding sounds and letters
5337282,yes,its help me to draw a vision on my mind and link between the word and the shape,2_11a,B,Visualisation
4986647,yes,حتى اتخيل شكل الكلمة ,2_12a,B,Visualisation
5029580,yes,reading the spelling of a word makes it easier to learn,2_13a,B,Remembering
5338811,yes,حتى ترتكز في المخ,2_14a,B,Remembering
5501560,yes,to memorize it in better way,2_15a,B,Memorisation
5331395,yes,لكي افهمها جيداً ,2_16a,B,Correct comprehension
5384016,yes,لتثبت في مخيلتي,2_17a,B,Visualisation
5031282,yes,يسهل تذكرها,2_18a,B,Remembering
5378097,yes,لكي يسهم البصر في حفظ الكلمة ,2_19a,B,Visualisation
5003023,yes,لكي اربط في ذهني الكلمة المكتوبة مع الصوت ... احفظ النطق و الكتابة معا في نفس الوقت,2_20a,B,Visual association
5037277,yes,in order to memorize that word,2_21a,B,Memorisation
5182923,yes,to know how to spell it ,2_22a,B,Decoding sounds and letters
5212731,no,ممكن أن أتشتت عن استماع الكلمة بالشكل الصحيح وأركز على شكها فقط,2_23a,B,It's too much to process
5357676,yes,يساعدني جدا في تذكرها وربطها بكلمة في لغتي الام ولو برابط مضحك خاص بي انا .. لا اخبره لأحد ,2_24a,B,Remembering
5029581,yes,to pronunce it correctly,2_25a,B,Correct production
5229722,yes,This way I got more information which means more links to the word to easily recall it.,2_1a,C,Remembering
4986648,yes,make sure how it is prounanced,2_2a,C,Correct production
5359092,yes,"افهم الكلمة اكثر
",2_3a,C,Correct comprehension
5341797,yes,"حتى أعرف النطق الصحيح،",2_4a,C,Correct production
5341797,yes,"لأنني أحيانا لا أفرق بين f و v.

فرؤية الكلمات مكتوبة يساعد على التعلم",2_5a,C,Visual association
5499647,no,لكي لا اتشتت بالتركيز على املاء تلك الكلمة,2_6a,C,It's too much to process
5027737,yes,Seeing the spelling helps me remember the word better. ,2_7a,C,Remembering
5010884,yes,لأن العين تحفظ ايضا,2_8a,C,Memorisation
5010884,yes, ولعدم القدرة على تمييز بعض الاحرف عند سماعها فصعبت التفريق بين نطق بعض الكلمات,2_9a,C,Decoding sounds and letters
5034149,yes,to help me connect the voice with the letters,2_10a,C,Decoding sounds and letters
5337282,yes,its help me to draw a vision on my mind and link between the word and the shape,2_11a,C,Visualisation
4986647,yes,حتى اتخيل شكل الكلمة ,2_12a,C,Visualisation
5029580,yes,reading the spelling of a word makes it easier to learn,2_13a,C,Clarifying and consolidating new language
5338811,yes,حتى ترتكز في المخ,2_14a,C,Clarifying and consolidating new language
5501560,yes,to memorize it in better way,2_15a,C,Memorisation
5331395,yes,لكي افهمها جيداً ,2_16a,C,Correct comprehension
5384016,yes,لتثبت في مخيلتي,2_17a,C,Visualisation
5031282,yes,يسهل تذكرها,2_18a,C,Remembering
5378097,yes,لكي يسهم البصر في حفظ الكلمة ,2_19a,C,Memorisation
5003023,yes,لكي اربط في ذهني الكلمة المكتوبة مع الصوت ... احفظ النطق و الكتابة معا في نفس الوقت,2_20a,C,Visual association
5037277,yes,in order to memorize that word,2_21a,C,Memorisation
5182923,yes,to know how to spell it ,2_22a,C,Correct production
5212731,no,ممكن أن أتشتت عن استماع الكلمة بالشكل الصحيح وأركز على شكها فقط,2_23a,C,It's too much to process
5357676,yes,يساعدني جدا في تذكرها وربطها بكلمة في لغتي الام ولو برابط مضحك خاص بي انا .. لا اخبره لأحد ,2_24a,C,Remembering
5029581,yes,to pronunce it correctly,2_25a,C,Correct production
5229722,yes,This way I got more information which means more links to the word to easily recall it.,2_1a,LS,Visual association
4986648,yes,make sure how it is prounanced,2_2a,LS,Correct production
5359092,yes,"افهم الكلمة اكثر
",2_3a,LS,Correct comprehension
5341797,yes,"حتى أعرف النطق الصحيح،",2_4a,LS,Correct production
5341797,yes,"لأنني أحيانا لا أفرق بين f و v.

فرؤية الكلمات مكتوبة يساعد على التعلم",2_5a,LS,Decoding sounds and letters
5499647,no,لكي لا اتشتت بالتركيز على املاء تلك الكلمة,2_6a,LS,It's too much to process
5027737,yes,Seeing the spelling helps me remember the word better. ,2_7a,LS,Remembering
5010884,yes,لأن العين تحفظ ايضا,2_8a,LS,Memorisation
5010884,yes, ولعدم القدرة على تمييز بعض الاحرف عند سماعها فصعبت التفريق بين نطق بعض الكلمات,2_9a,LS,Decoding sounds and letters
5034149,yes,to help me connect the voice with the letters,2_10a,LS,Decoding sounds and letters
