participant_ID,OI.importance,OI.open,content_ID,coder_ID,specific_code
5499421,yes,"I think I find it quite difficult to make the correct sounds when speaking, without first seeing the word written down (assuming it is written in characters I am familiar with)",2_1e,A,Correct production
5440728,no,Sometimes the spelling and the pronunciation differ and I'd rather hear the word first and then read it.,2_2e,A,Spelling doesn't reflect pronunciation
5356537,yes,"to ensure dont mishear, esoecially with similar letters, like v and f or m and n ",2_3e,A,Decoding sounds and letters
5356536,no,speaking and listening is the first skills in a new language,2_4e,A,Of previous (language) learning
5663887,yes,"It makes it easier for me to learn, I am a pretty visual learner",2_5e,A,Learning style
5759398,yes,to correct hearing errors,2_6e,A,Correct comprehension
5332522,yes,"it helps me sound it out loud, which helps me with pronunciation",2_7e,A,Correct production
5332522,yes,"and word recognition, ",2_8e,A,Correct comprehension
5332522,yes,as well as with recall,2_9e,A,Memorisation
5751031,no,"For me, I find oral fluency much easier to reach than written.",2_10e,A,NA
5751031,no,"I prefer to learn languages by speaking and hearing them, not writing (which I have done as well, with dead languages).",2_11e,A,Of previous (language) learning
5587514,no,so many english words are spelt in different ways that dont always make it easy on first appearance ,2_12e,A,Spelling doesn't reflect pronunciation
5732647,yes,"This clarifies any misconception with sounds, especially when the words are similar",2_13e,A,Correct comprehension
5759735,no,hearing is most helpful first.,2_14e,A,NA
5759735,no,written and hering the word is more to process,2_15e,A,It is too much to process
5336201,yes,because you can then visualise the word as well,2_16e,A,NA
5336201,yes,and maybe notice patterns in spellings if it is similar to a word you already know. ,2_17e,A,Decoding sounds and letters
5336201,yes,You can also make sure you are pronouncing it correctly if you see it. (if you can read) ,2_18e,A,Correct production
5335169,yes,"Because some letters sound similar, it re-enforces you are hearing the correct sound",2_19e,A,Decoding sounds and letters
5308657,yes,"Because I'm quite a visual and textual learner and slightly deaf, so I rely more on what I see than what I hear.",2_20e,A,Learning style
5914367,no,Easier to concentrate on one aspect of the word first. ie just hearing it or just seeing it,2_21e,A,It is too much to process
6029761,yes,If you are a very visual learner,2_22e,A,Learning style
6029761,yes,you can picture the word spelling when you say it,2_23e,A,NA
5627982,yes,Helps embed in uour brain,2_24e,A,Memorisation
5338550,yes,to confirm youve heard the sounds correctly,2_25e,A,Correct comprehension
5676564,yes,to match the letters to the sounds ,2_26e,A,Decoding sounds and letters
5312548,yes,Learning the spelling of a word allows you to use it in writing. I find it frustrating being unsure about the spelling of a word when I want to use it in writing.,2_27e,A,Correct production
5592006,yes,spellings provide a second sense to link the memory of the word to (sight as well as sound),2_28e,A,NA
5592006,yes,and can give you clues as to keaning which can also help memory.,2_29e,A,Memorisation
5503474,yes,It can give an indication of which sound you are lisening for in English - though not always,2_30e,A,Correct comprehension
5586643,yes,"soliifies understanding of hearing the word, like a confirmation ",2_31e,A,Clarifying and consolidating new language
