"ID","see_OI","see_arabic","see_english","no_spell","OI.influence.open","spelling.preference","OI.importance","OI.open","vision.hearing","prop_distraction","headphones","age","gender","education","nationality","location","L1","readingprofscore","level","prof_test_score","same_day","Participant.Device.Type","meanRT","meanD.prime","correct"
"4982859","middle","no_diff","no_diff","easier","<U+0644><U+064A><U+0633><U+0649> <U+0643><U+062B><U+064A><U+0631><U+0627>
","in_arabic","yes","<U+062A><U+0633><U+0627><U+0639><U+062F><U+0646><U+064A> <U+0627><U+0643><U+062B><U+0631>","Yes",0.62,"no_headphones",26,"m","primary","Syrian","UK","Arabic",2,"beginner",6,0,"mobile",3045.70967741935,0.779950833096774,31
"4986647","middle","easier","no_notice","easier","<U+0646><U+0639><U+0645>. <U+0627><U+0646><U+0627> <U+0627><U+0646><U+0633><U+0627><U+0646><U+0629> <U+0628><U+0635><U+0631><U+064A><U+0629> ","in_arabic","yes","<U+062D><U+062A><U+0649> <U+0627><U+062A><U+062E><U+064A><U+0644> <U+0634><U+0643><U+0644> <U+0627><U+0644><U+0643><U+0644><U+0645><U+0629> ","Yes",0.17,"earphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",4,"advanced",11,1,"mobile",1956.64848484848,1.54107457487879,33
"4986648","no_see","no_diff","easier","no_diff","differentiate betweet the V and F","in_english","yes","make sure how it is prounanced","Yes",0.14,"no_headphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",5,"nearnative",12,1,"mobile",1622.29032258065,1.23080312877419,31
"4986649","start","easier","easier","difficult","written words are much easier to remember and to associate with the right item","in_english","yes","notice the difference between v and f better","Yes",0,"earphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",5,"advanced",12,1,"mobile",1344.77777777778,1.33981828927778,36
"4988179","start","no_diff","easier","easier","it better to read and listen ","in_english","yes","easy to pronounce it","Yes",0.23,"no_headphones",36,"f","bachelors","Saudi","Saudi Arabia","Arabic",4,"intermediate",7,0,"tablet",1465.51428571429,1.41639741157143,35
"4988182","end","easier","easier","difficult","yes","in_arabic","yes","<U+0633><U+0647><U+0644><U+0629> <U+0627><U+0644><U+062D><U+0641><U+0638>","Yes",0.56,"no_headphones",36,"f","masters","Saudi","Saudi Arabia","Arabic",5,"advanced",11,1,"mobile",1188.7037037037,0.800463907703704,27
"4990048","middle","no_notice","easier","no_notice","yes","in_english","yes","so later I know he w the word is ","Yes",0.1,"earphones",14,"f","secondary","Saudi","Saudi Arabia","Arabic",4,"nearnative",12,1,"mobile",1252.94736842105,1.87945224873684,38
"5000407","start","no_diff","easier","difficult","<U+0646><U+0639><U+0645> ","in_english","yes","<U+0644><U+0644><U+062A><U+0623><U+0643><U+062F> <U+0645><U+0646> <U+0635><U+062D><U+0629> <U+0645><U+0627> <U+0627><U+0633><U+062A><U+0645><U+0639><U+062A> <U+0625><U+0644><U+064A><U+0647>","Yes",0.79,"earphones",29,"f","masters","Egyptian","Egypt","Arabic",5,"advanced",12,1,"mobile",1817.02285714286,1.609491904,35
"5000759","no_see","easier","no_diff","easier","<U+0643><U+0628><U+064A><U+0631>
","no_OI","no","<U+0627><U+0646><U+0627> <U+0634><U+062E><U+0635><U+064A><U+0629> <U+0633><U+0645><U+0639><U+064A><U+0629>
","Yes",0.14,"no_headphones",43,"f","bachelors","Egyptian","Egypt","Arabic",4,"intermediate",8,1,"mobile",2032.81176470588,1.37747376414706,34
"5000809","start","no_diff","no_diff","difficult","<U+0627><U+0644><U+0643><U+0644><U+0643><U+0627><U+062A> <U+0627><U+0644><U+0645><U+0643><U+062A><U+0629><U+0628><U+0629> <U+062A><U+0633><U+0627><U+0639><U+062F> <U+0639><U+0644><U+0649> <U+0627><U+0644><U+062A><U+0630><U+0643><U+0631> <U+0628><U+0642><U+0648><U+0629>","in_english","yes","<U+0644><U+0623><U+0646><U+0647><U+0627> <U+062A><U+0633><U+0647><U+0644> <U+0639><U+0645><U+0644><U+064A><U+0629> <U+062D><U+0641><U+0638><U+0647><U+0627> <U+0641><U+064A> <U+0627><U+0644><U+0630><U+0627><U+0643><U+0631><U+0629> <U+0627><U+0644><U+0645><U+0631><U+0626><U+064A><U+0629> <U+0648> <U+0631><U+0628><U+0637><U+0647><U+0627> <U+0645><U+0639> <U+0627><U+0644><U+0630><U+0627><U+0643><U+0631><U+0629> <U+0627><U+0644><U+0633><U+0645><U+0639><U+064A><U+0629>","Yes",0.76,"no_headphones",43,"f","masters","Egyptian","Egypt","Arabic",5,"advanced",12,1,"computer",2564.52647058824,1.36040162432353,34
"5000812","middle","easier","no_diff","easier","huge","in_english","yes","to know more ","Yes",0,"no_headphones",30,"f","masters","Egyptian","Egypt","Arabic",3,"intermediate",7,1,"mobile",3457.375,1.59547416408333,36
"5000814","start","no_diff","easier","difficult","<U+0641><U+0631><U+0642> <U+0643><U+0628><U+064A><U+0631>","in_english","yes","i may hear wrong","Yes",0.51,"no_headphones",36,"f","bachelors","Egyptian","Egypt","Arabic",4,"advanced",12,1,"mobile",1878.78536585366,1.92523521302439,41
"5003012","start","difficult","easier","difficult","<U+0646><U+0639><U+0645><U+060C> <U+0627><U+0644><U+0649> <U+0645><U+062F><U+0649> <U+0645><U+062A><U+0648><U+0633><U+0637>","in_english","yes","<U+062A><U+0633><U+0627><U+0639><U+062F><U+0646><U+064A> <U+0639><U+0644><U+0649> <U+0631><U+0628><U+0637><U+0647><U+0627> <U+0628><U+0627><U+0644><U+0635><U+0648><U+0631><U+0629> <U+0648> <U+062A><U+062E><U+0632><U+064A><U+0646><U+0647><U+0627> <U+0641><U+064A> <U+0627><U+0644><U+0630><U+0627><U+0643><U+0631><U+0629> <U+064A><U+0643><U+0648><U+0646> <U+0627><U+0633><U+0647><U+0644> <U+0648> <U+0627><U+0633><U+0631><U+0639>
","Yes",0.66,"no_headphones",27,"f","masters","Algerian","UK","Arabic",5,"advanced",11,1,"mobile",6551.16296296296,0.757256504259259,27
