"ID","see_OI","see_arabic","see_english","no_spell","OI.influence.open","spelling.preference","OI.importance","OI.open","vision.hearing","prop_distraction","headphones","age","gender","education","nationality","location","L1","readingprofscore","level","prof_test_score","same_day","Participant.Device.Type","OI","meanRT","meanD.prime","correct"
"4982859","middle","no_diff","no_diff","easier","<U+0644><U+064A><U+0633><U+0649> <U+0643><U+062B><U+064A><U+0631><U+0627>
","in_arabic","yes","<U+062A><U+0633><U+0627><U+0639><U+062F><U+0646><U+064A> <U+0627><U+0643><U+062B><U+0631>","Yes",0.62,"no_headphones",26,"m","primary","Syrian","UK","Arabic",2,"beginner",6,0,"mobile","Arabic",2603.7125,0,8
"4982859","middle","no_diff","no_diff","easier","<U+0644><U+064A><U+0633><U+0649> <U+0643><U+062B><U+064A><U+0631><U+0627>
","in_arabic","yes","<U+062A><U+0633><U+0627><U+0639><U+062F><U+0646><U+064A> <U+0627><U+0643><U+062B><U+0631>","Yes",0.62,"no_headphones",26,"m","primary","Syrian","UK","Arabic",2,"beginner",6,0,"mobile","English",2606.14,0.524400513,10
"4982859","middle","no_diff","no_diff","easier","<U+0644><U+064A><U+0633><U+0649> <U+0643><U+062B><U+064A><U+0631><U+0627>
","in_arabic","yes","<U+062A><U+0633><U+0627><U+0639><U+062F><U+0646><U+064A> <U+0627><U+0643><U+062B><U+0631>","Yes",0.62,"no_headphones",26,"m","primary","Syrian","UK","Arabic",2,"beginner",6,0,"mobile","no",3655.83846153846,1.45649774584615,13
"4986647","middle","easier","no_notice","easier","<U+0646><U+0639><U+0645>. <U+0627><U+0646><U+0627> <U+0627><U+0646><U+0633><U+0627><U+0646><U+0629> <U+0628><U+0635><U+0631><U+064A><U+0629> ","in_arabic","yes","<U+062D><U+062A><U+0649> <U+0627><U+062A><U+062E><U+064A><U+0644> <U+0634><U+0643><U+0644> <U+0627><U+0644><U+0643><U+0644><U+0645><U+0629> ","Yes",0.17,"earphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",4,"advanced",11,1,"mobile","Arabic",2127.76,1.7941721916,10
"4986647","middle","easier","no_notice","easier","<U+0646><U+0639><U+0645>. <U+0627><U+0646><U+0627> <U+0627><U+0646><U+0633><U+0627><U+0646><U+0629> <U+0628><U+0635><U+0631><U+064A><U+0629> ","in_arabic","yes","<U+062D><U+062A><U+0649> <U+0627><U+062A><U+062E><U+064A><U+0644> <U+0634><U+0643><U+0644> <U+0627><U+0644><U+0643><U+0644><U+0645><U+0629> ","Yes",0.17,"earphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",4,"advanced",11,1,"mobile","English",1677.33571428571,1.91411651414286,14
"4986647","middle","easier","no_notice","easier","<U+0646><U+0639><U+0645>. <U+0627><U+0646><U+0627> <U+0627><U+0646><U+0633><U+0627><U+0646><U+0629> <U+0628><U+0635><U+0631><U+064A><U+0629> ","in_arabic","yes","<U+062D><U+062A><U+0649> <U+0627><U+062A><U+062E><U+064A><U+0644> <U+0634><U+0643><U+0644> <U+0627><U+0644><U+0643><U+0644><U+0645><U+0629> ","Yes",0.17,"earphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",4,"advanced",11,1,"mobile","no",2201.01111111111,0.679567539666667,9
"4986648","no_see","no_diff","easier","no_diff","differentiate betweet the V and F","in_english","yes","make sure how it is prounanced","Yes",0.14,"no_headphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",5,"nearnative",12,1,"mobile","Arabic",2086.27272727273,1.14924223145455,11
"4986648","no_see","no_diff","easier","no_diff","differentiate betweet the V and F","in_english","yes","make sure how it is prounanced","Yes",0.14,"no_headphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",5,"nearnative",12,1,"mobile","English",1343.30769230769,1.86850617792308,13
"4986648","no_see","no_diff","easier","no_diff","differentiate betweet the V and F","in_english","yes","make sure how it is prounanced","Yes",0.14,"no_headphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",5,"nearnative",12,1,"mobile","no",1411.28571428571,0.174664590428571,7
"4986649","start","easier","easier","difficult","written words are much easier to remember and to associate with the right item","in_english","yes","notice the difference between v and f better","Yes",0,"earphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",5,"advanced",12,1,"mobile","Arabic",1551.16666666667,1.36895165091667,12
