"ID","see_OI","see_arabic","see_english","no_spell","OI.influence.open","spelling.preference","OI.importance","OI.open","vision.hearing","prop_distraction","headphones","age","gender","education","nationality","location","L1","readingprofscore","level","prof_test_score","same_day","Participant.Device.Type","Contrast","OI","meanRT","meanD.prime","correct"
"4986647","middle","easier","no_notice","easier","نعم. انا انسانة بصرية ","in_arabic","yes","حتى اتخيل شكل الكلمة ","Yes",0.17,"earphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",4,"advanced",11,1,"mobile","fv","Arabic",1121.3,-1.281551566,2
"4986647","middle","easier","no_notice","easier","نعم. انا انسانة بصرية ","in_arabic","yes","حتى اتخيل شكل الكلمة ","Yes",0.17,"earphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",4,"advanced",11,1,"mobile","fv","English",1580.75,1.048801025,6
"4986647","middle","easier","no_notice","easier","نعم. انا انسانة بصرية ","in_arabic","yes","حتى اتخيل شكل الكلمة ","Yes",0.17,"earphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",4,"advanced",11,1,"mobile","fv","no",1873.65,1.281551566,6
"4986647","middle","easier","no_notice","easier","نعم. انا انسانة بصرية ","in_arabic","yes","حتى اتخيل شكل الكلمة ","Yes",0.17,"earphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",4,"advanced",11,1,"mobile","mn","Arabic",2379.375,2.563103131,8
"4986647","middle","easier","no_notice","easier","نعم. انا انسانة بصرية ","in_arabic","yes","حتى اتخيل شكل الكلمة ","Yes",0.17,"earphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",4,"advanced",11,1,"mobile","mn","English",1749.775,2.563103131,8
"4986647","middle","easier","no_notice","easier","نعم. انا انسانة بصرية ","in_arabic","yes","حتى اتخيل شكل الكلمة ","Yes",0.17,"earphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",4,"advanced",11,1,"mobile","mn","no",2855.7333333333336,-0.524400513,3
"4986648","no_see","no_diff","easier","no_diff","differentiate betweet the V and F","in_english","yes","make sure how it is prounanced","Yes",0.14,"no_headphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",5,"nearnative",12,1,"mobile","fv","Arabic",1284,0,4
"4986648","no_see","no_diff","easier","no_diff","differentiate betweet the V and F","in_english","yes","make sure how it is prounanced","Yes",0.14,"no_headphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",5,"nearnative",12,1,"mobile","fv","English",1463,0.757151053,5
"4986648","no_see","no_diff","easier","no_diff","differentiate betweet the V and F","in_english","yes","make sure how it is prounanced","Yes",0.14,"no_headphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",5,"nearnative",12,1,"mobile","fv","no",1794,-1.281551566,2
"4986648","no_see","no_diff","easier","no_diff","differentiate betweet the V and F","in_english","yes","make sure how it is prounanced","Yes",0.14,"no_headphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",5,"nearnative",12,1,"mobile","mn","Arabic",2544.714285714286,1.805952078,7
"4986648","no_see","no_diff","easier","no_diff","differentiate betweet the V and F","in_english","yes","make sure how it is prounanced","Yes",0.14,"no_headphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",5,"nearnative",12,1,"mobile","mn","English",1268.5,2.563103131,8
"4986648","no_see","no_diff","easier","no_diff","differentiate betweet the V and F","in_english","yes","make sure how it is prounanced","Yes",0.14,"no_headphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",5,"nearnative",12,1,"mobile","mn","no",1258.2,0.757151053,5
"4986649","start","easier","easier","difficult","written words are much easier to remember and to associate with the right item","in_english","yes","notice the difference between v and f better","Yes",0,"earphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",5,"advanced",12,1,"mobile","fv","Arabic",1703,0.757151053,5
