Participant Private ID,see_OI,see_arabic,see_english,no_spell,OI influence - open,spelling preference,OI importance,OI open,spec spell_famel,spec spell_vamel,spec spell_makem,spec spell_nakem,Strategies_Open,statements_associations,statements_context,statements_mental_image,statements_visualise_arabic,statements_visualise_english,statements_repeating,statements_mouthing,statements_action,statements_sublexical,statements_patterns,statements_sounds_letters,statements_first_sound,statements_similarities,statements_grouping,statements_distinguish_english,statements_distinguish_arabic,statements_ignore_english,statements_ignore_arabic,statements_recalling,statements_progress,statements_mistakes,statements_relaxed_arabic,statements_relaxed_english
5000814,start,no_diff,easier,difficult,فرق كبير,in_english,yes,i may hear wrong,famol,vamol,vadit,nackel,by listening and repeating,never,always,almost_always,never,always,always,almost_always,sometimes,always,almost_always,always,almost_always,sometimes,sometimes,almost_always,almost_never,never,never,sometimes,almost_always,almost_always,sometimes,almost_always
5012893,no_see,no_diff,no_diff,no_diff,Not really,in_english,yes,I'm more receptive to written language,unsure,unsure,unsure,unsure,The  words ended up  sounding the same to  my ears so I gave up,almost_never,sometimes,almost_never,never,sometimes,never,never,never,never,never,sometimes,sometimes,almost_always,sometimes,never,never,almost_never,almost_never,almost_never,sometimes,always,never,sometimes
5029581,no_see,no_notice,easier,difficult,no,in_english,yes,to pronunce it correctly,fammel,makum,nachum,macum,link between what i hear and see,sometimes,never,almost_never,never,always,always,always,almost_never,almost_never,almost_never,always,almost_never,never,sometimes,always,never,never,always,sometimes,sometimes,almost_always,never,always
5082295,no_see,no_diff,easier,difficult,"نعم ، لمدى كثير جدا بالمكتوبه استطيع معرفه النطق الصحيح",in_english,no,ليس مهم في هذا الوقت,fads,vades,fagm,nagm,من تذكر كيفيه استماعها,sometimes,almost_never,almost_always,almost_never,sometimes,sometimes,almost_never,sometimes,sometimes,almost_always,always,almost_always,sometimes,always,sometimes,almost_never,almost_never,almost_never,sometimes,almost_always,sometimes,almost_never,almost_always
5229722,no_see,no_notice,easier,difficult,"As some of the words sound similar, seeing it wtitten helped me distinguish between them when hearing them so I would say it helped a lot in that case, it also helped with other cases as linking the image and the sound with a written word made it easier to remember.",in_english,yes,This way I got more information which means more links to the word to easily recall it.,Famot,vadot,makom,makit,I tried to create a linkage between how the word sounds and how the image looks.,almost_always,almost_always,always,never,always,always,always,sometimes,never,always,always,sometimes,never,almost_always,always,never,never,always,almost_always,always,always,never,always
5335482,no_see,no_notice,no_notice,easier,لا,in_english,no,هذا دور بحثكم,دودة,بلاستيك,كائن فضائي,هجين,اعتباطا,never,never,never,never,never,never,never,never,never,never,never,never,never,never,never,never,never,never,never,never,never,never,never
5336078,no_see,no_notice,easier,difficult,"yes, alot",in_english,yes,it helps me remember the word ,famin,vadit,vadid,makin,by linking the shape of the object with the sounds ,always,never,always,never,sometimes,never,sometimes,almost_never,sometimes,always,sometimes,never,never,sometimes,almost_never,never,almost_never,never,sometimes,almost_never,sometimes,always,always
5336722,middle,easier,easier,no_diff,"Maybe it has made it easier a little bit, but I relied more on memorizing the shape and the word heard.",in_english,yes,To realize how it's pronounced later when I see the word.,Famo,Vamo,Makom,Nakom,"Connecting the shape to something in real world. e.g. those that are called 'famo' or 'vamo', I try to connect the word heard which is a bit similar to ""فم"" in Arabic  saying the shape of the those pictures can be entered inside the 'mouth=فم"". Another example, the shape that's called 'famis' ...I say it looks like a unique flower..so I remind myself that it's famis ""like or driven from the English word famous"". So in short, try to connect the new words to known words in either language Arabic or English.",always,always,always,almost_never,always,almost_never,never,always,sometimes,almost_always,always,always,always,always,almost_always,never,never,always,always,almost_never,almost_always,almost_always,almost_always
5359092,start,easier,easier,difficult,فرق كبير جدا,in_english,yes,"افهم الكلمة اكثر
",لا اتذكرها,لا اتذكرها,لا اتذكرها,لا اتذكرها,لم احاول,almost_never,never,never,never,almost_always,almost_always,almost_always,almost_always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,never,never,always,always,always,almost_never,always
5338565,end,easier,no_notice,easier,it is help some time to remember,in_english,yes,To say it correct ,famel,Vamil,Macome,nacome,remember the sound ,sometimes,never,never,never,almost_always,almost_always,almost_always,sometimes,never,never,sometimes,sometimes,sometimes,never,almost_never,never,never,never,never,never,sometimes,sometimes,sometimes
