ID,understood consent,voluntary consent,publication consent,data storage consent,mainconsent-1,vision/hearing,cognitive/dyslexia,prop_distraction,headphones,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Viewport Size,same_day,age,gender,nationality,location,abroad,education,L1,dialect,dialect_additions,age of onset,length of study,abroad_stay,length of stay,English qualification,English qual_additions,L3,L3_additions,listeningprofscore,readingprofscore,writingprofscore,speakingprofscore,sum_prof,mean_prof,level,prof_test_score,mean_test,Englishhours_listen,Arabichours_listen,Otherhours_listen,Englishhours_read,Arabichours_read,Otherhours_read,Englishhours_interact,Arabichours_interact,Otherhours_interact,prop_English_hours,prop_English_lit_hours,prop_Arabic_hours,prop_arabic_lit_hours
5027570,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.04,earphones,computer,Desktop or Laptop,Windows,Chrome,1536x714,1,18,f,Saudi,Saudi Arabia,no,bachelors,Arabic,Saudi,Hijazi,5,15,no,none,Secondary school,,none,,5,5,5,5,20,5,advanced,9,0.75,10,6,1,8,11,1,5,9,0,0.45,0.16,0.509803922,0.215686275
5155297,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,headphones,computer,Desktop or Laptop,Windows,Chrome,1536x754,1,34,m,Saudi,UK,yes,bachelors,Arabic,Saudi,Najdi Northern,12,12,yes,< 6 months,none,,Japanese,,3,1,2,3,9,2.25,intermediate,8,0.67,5,15,2,2,6,0,4,12,0,0.24,0.04,0.717391304,0.130434783
5336140,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.28,earphones,computer,Desktop or Laptop,Mac OS,Safari,1080x704,1,28,f,Saudi,Saudi Arabia,no,masters,Arabic,Saudi,,10,18,no,none,Postgraduate Degree,MA Applied Linguistics,Korean,"Japanese, French (Korean media) - low ability in all additional langauges",5,5,5,4,19,4.75,advanced,9,0.75,4,9,3,6,7,0,4,9,0,0.33,0.14,0.595238095,0.166666667
5622524,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.11,earphones,computer,Desktop or Laptop,Windows,Chrome,1280x577,1,32,m,Iraqi,Iraq,no,masters,Arabic,Iraqi,,12,6,no,none,none,,none,,4,2,2,3,11,2.75,intermediate,7,0.58,1,6,0,0,4,0,0,9,0,0.05,0,0.95,0.2
5730442,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,earphones,mobile,Huawei ALP-L29,Android,Chrome,753x340,1,22,f,Kuwaiti,Kuwait,no,bachelors,Arabic,Kuwaiti,,6,14,no,none,none,,none,,2,3,2,1,8,2,intermediate,11,0.92,2,15,1,2,13,0,0,14,0,0.09,0.04,0.893617021,0.276595745
5607775,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,no_headphones,mobile,Apple iPhone,iOS,Mobile Safari,800x370,1,24,f,Saudi,Saudi Arabia,no,secondary,Arabic,Saudi,Najdi Southern,12,7,no,none,none,,none,,1,1,0,0,2,0.5,beginner,6,0.5,2,22,3,1,18,1,0,18,0,0.05,0.02,0.892307692,0.276923077
5359752,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.06,earphones,mobile,Apple iPhone,iOS,Mobile Safari,667x325,1,36,f,Saudi,Saudi Arabia,no,doctorate,Arabic,Saudi,,12,12,no,none,none,,none,,2,2,1,1,6,1.5,beginner,6,0.5,1,12,0,2,12,0,2,12,0,0.12,0.05,0.87804878,0.292682927
5089629,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.72,earphones,mobile,LG M320,Android,Chrome,597x280,1,39,m,Algerian,Algeria ,no,doctorate,Arabic,Algerian,,12,18,no,none,Postgraduate Degree,PhD,French,,4,4,3,3,14,3.5,advanced,12,1,6,13,1,6,2,1,1,13,0,0.3,0.14,0.651162791,0.046511628
5439128,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,headphones,computer,Desktop or Laptop,Windows,Chrome,1536x722,1,49,m,Saudi,Saudi Arabia,no,doctorate,Arabic,Saudi,,42,1,no,none,none,,none,,3,3,1,3,10,2.5,intermediate,8,0.67,3,7,0,2,3,0,0,12,0,0.19,0.07,0.814814815,0.111111111
5059373,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.08,no_headphones,computer,Desktop or Laptop,Mac OS,Chrome,1278x522,1,24,f,Algerian,Algeria ,no,masters,Arabic,Algerian,,11,12,no,none,Undergraduate Degree,BA,none,,4,4,3,4,15,3.75,advanced,12,1,5,11,1,6,4,0,3,10,0,0.35,0.15,0.625,0.1
